strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate
rsi_mean_reversion,XLE,covid_crash,23,1,-0.511993,-0.999614,1.104895,-0.904714,-0.514081,0.368421
breakout_20d,XLE,covid_crash,23,0,0.0,0.0,0.0,0.0,0.0,0.0
buy_and_hold,XLE,covid_rebound,449,1,1.215482,0.562763,0.400521,1.405077,-0.39107,0.511161
sma_trend_following,XLE,covid_rebound,449,10,0.35441,0.185617,0.274303,0.676685,-0.270982,0.522088
rsi_mean_reversion,XLE,covid_rebound,449,34,0.196445,0.105903,0.145561,0.727553,-0.15734,0.509091
breakout_20d,XLE,covid_rebound,449,68,0.001074,0.000603,0.139244,0.004327,-0.128479,0.507246
buy_and_hold,XLE,inflation_bear_2022,196,1,0.444215,0.604135,0.36399,1.659756,-0.260406,0.548718
sma_trend_following,XLE,inflation_bear_2022,196,4,0.107863,0.140766,0.319981,0.43992,-0.305134,0.550336
rsi_mean_reversion,XLE,inflation_bear_2022,196,8,-0.008442,-0.01084,0.165402,-0.065539,-0.109269,0.473684
breakout_20d,XLE,inflation_bear_2022,196,52,-0.129411,-0.163209,0.167621,-0.973679,-0.193716,0.48
buy_and_hold,XLE,ai_bull_2023_2024,502,1,0.086527,0.042538,0.203423,0.209113,-0.173324,0.530938
sma_trend_following,XLE,ai_bull_2023_2024,502,14,-0.11132,-0.057523,0.144399,-0.398365,-0.192688,0.5
rsi_mean_reversion,XLE,ai_bull_2023_2024,502,47,0.131674,0.064064,0.079928,0.801518,-0.084955,0.571429
breakout_20d,XLE,ai_bull_2023_2024,502,72,-0.10635,-0.054881,0.062227,-0.881943,-0.130795,0.485714
buy_and_hold,XLE,chop_2015_2016,198,1,-0.335395,-0.405473,0.287701,-1.409354,-0.361008,0.426396
sma_trend_following,XLE,chop_2015_2016,198,4,-0.156079,-0.194246,0.121348,-1.600737,-0.155657,0.368421
rsi_mean_reversion,XLE,chop_2015_2016,198,34,0.044875,0.05746,0.187587,0.306311,-0.114659,0.5
breakout_20d,XLE,chop_2015_2016,198,4,0.063563,0.081589,0.04803,1.698714,-0.00941,0.666667
buy_and_hold,XLE,chop_2018,230,1,-0.284818,-0.307387,0.216512,-1.419723,-0.302068,0.475983
sma_trend_following,XLE,chop_2018,230,8,-0.236487,-0.255941,0.147176,-1.739009,-0.24523,0.456311
rsi_mean_reversion,XLE,chop_2018,230,9,-0.157016,-0.170677,0.115975,-1.471664,-0.157016,0.44186
breakout_20d,XLE,chop_2018,230,20,-0.018061,-0.019771,0.059926,-0.329921,-0.06141,0.6
buy_and_hold,XLU,full_sample,6848,1,7.047082,0.079759,0.192872,0.413531,-0.523207,0.518037
sma_trend_following,XLU,full_sample,6848,147,1.45712,0.033635,0.124479,0.270209,-0.395123,0.51887
rsi_mean_reversion,XLU,full_sample,6848,420,1.368436,0.032238,0.102644,0.314076,-0.266115,0.52599
breakout_20d,XLU,full_sample,6848,1068,-0.658846,-0.038802,0.06064,-0.63987,-0.688057,0.484058
buy_and_hold,XLU,dotcom_bear,638,1,-0.358276,-0.160722,0.24738,-0.649698,-0.523207,0.469388
sma_trend_following,XLU,dotcom_bear,638,14,-0.164436,-0.068499,0.142556,-0.480507,-0.336884,0.456835
rsi_mean_reversion,XLU,dotcom_bear,638,63,-0.035648,-0.014235,0.158716,-0.089689,-0.266115,0.518868
breakout_20d,XLU,dotcom_bear,638,60,-0.065591,-0.02644,0.060942,-0.433855,-0.1146,0.411765
buy_and_hold,XLU,post_dotcom_bull,1258,1,2.006783,0.24673,0.15219,1.621196,-0.175589,0.536993
sma_trend_following,XLU,post_dotcom_bull,1258,23,1.070583,0.156962,0.118425,1.325412,-0.135681,0.530983
rsi_mean_reversion,XLU,post_dotcom_bull,1258,58,0.207243,0.038448,0.059458,0.646647,-0.114429,0.539823
breakout_20d,XLU,post_dotcom_bull,1258,245,-0.106235,-0.022247,0.067201,-0.331049,-0.20282,0.483051
buy_and_hold,XLU,gfc_bear,355,1,-0.421196,-0.321686,0.332519,-0.967422,-0.464957,0.474576
sma_trend_following,XLU,gfc_bear,355,6,-0.146001,-0.105986,0.143993,-0.736049,-0.210568,0.505495
rsi_mean_reversion,XLU,gfc_bear,355,29,-0.216249,-0.158835,0.202032,-0.786187,-0.240361,0.42623
breakout_20d,XLU,gfc_bear,355,36,-0.165329,-0.120396,0.080523,-1.495173,-0.179749,0.37931
buy_and_hold,XLU,post_gfc_bull,2756,1,3.580386,0.149293,0.142173,1.050079,-0.157044,0.533212
sma_trend_following,XLU,post_gfc_bull,2756,61,0.9863,0.064761,0.11497,0.563289,-0.162296,0.534572
rsi_mean_reversion,XLU,post_gfc_bull,2756,144,0.534536,0.039933,0.049073,0.813733,-0.090518,0.542553
breakout_20d,XLU,post_gfc_bull,2756,466,-0.368679,-0.041183,0.054623,-0.753955,-0.405549,0.497845
buy_and_hold,XLU,covid_crash,23,1,-0.356144,-0.991965,0.850593,-1.166204,-0.355822,0.227273
sma_trend_following,XLU,covid_crash,23,2,-0.22445,-0.938268,0.516526,-1.816496,-0.224062,0.2
rsi_mean_reversion,XLU,covid_crash,23,7,-0.073425,-0.566361,0.734801,-0.770768,-0.159881,0.5
breakout_20d,XLU,covid_crash,23,0,0.0,0.0,0.0,0.0,0.0,0.0
buy_and_hold,XLU,covid_rebound,449,1,0.520603,0.26519,0.217803,1.217568,-0.118227,0.524554
